tconst,averageRating,numVotes
tt0153464,6.0,2688
tt0154039,4.6,80
tt0155150,5.2,387
tt0155723,6.8,330
tt0155754,6.3,700
tt0156020,6.1,654
tt0156323,5.7,8951
tt0156757,6.0,1997
tt0156807,4.3,1109
tt0156812,7.0,19953
tt0156841,4.7,11140
tt0157007,4.1,351
tt0157122,7.4,3392
tt0157191,5.5,1492
tt0157262,3.5,11872
tt0157472,5.2,13924
tt0157583,6.4,20660
tt0158033,6.0,1718
tt0158581,5.3,721
tt0158622,3.7,22882
tt0159273,6.4,102080
tt0159365,7.2,143949
tt0159369,7.3,83
tt0159371,7.1,91
tt0159396,3.7,154
tt0159784,6.3,6813
tt0160009,5.7,29470
tt0160127,5.6,182297
tt0160182,4.1,411
tt0160184,5.3,25929
tt0160275,6.8,167
tt0160289,5.6,1408
tt0160399,6.2,23237
tt0160484,4.8,10791
tt0160495,4.7,967
tt0160547,4.9,411
tt0160550,6.5,387
tt0160611,6.4,13744
tt0160616,5.8,276
tt0160644,5.5,3372
tt0160663,5.7,261
tt0160706,5.5,897
tt0160759,6.7,160
tt0160797,6.4,46193
tt0160859,2.9,112
tt0160905,5.3,526
tt0161081,6.6,121685
tt0161083,5.5,15645
tt0161216,6.4,2301
tt0161860,7.5,12971
tt0162222,7.8,552761
tt0162346,7.3,117766
tt0162650,6.0,75520
tt0162711,5.0,1554
tt0162838,5.4,278
tt0162942,6.8,137
tt0162983,4.9,12372
tt0163025,5.9,305415
tt0163080,5.9,477
tt0163125,5.5,353
tt0163141,6.0,335
tt0163676,4.7,4514
tt0163764,6.0,255
tt0163978,6.7,230376
tt0163983,5.1,14418
tt0164003,6.0,5241
tt0164052,5.8,127530
tt0164184,6.4,110886
tt0164212,6.5,23970
tt0164318,5.4,298
tt0164334,6.4,81287
tt0164545,3.7,480
tt0164961,6.5,21727
tt0165361,6.2,6356
tt0165642,3.3,162
tt0165800,4.1,596
tt0165832,7.7,31170
tt0165929,6.1,68884
tt0165982,6.7,52012
tt0166013,6.4,731
tt0166110,4.3,7364
tt0166158,5.7,2332
tt0166276,4.8,17431
tt0166370,4.9,1812
tt0166709,6.9,810
tt0166813,7.2,71409
tt0166924,7.9,338131
tt0167116,6.0,3221
tt0167190,6.8,315696
tt0167203,5.6,4578
tt0167260,8.9,1713053
tt0167261,8.7,1548686
tt0167360,5.4,920
tt0167367,4.6,552
tt0167380,6.5,341
tt0167456,4.3,13626
tt0168504,5.6,1636
tt0168509,6.2,27
tt0168612,5.5,158
tt0168629,8.0,106054
tt0168631,4.8,602
tt0168786,7.3,34602
tt0168847,6.9,68
tt0168856,6.0,6316
tt0169102,8.1,109487
tt0169122,3.7,459
tt0169324,5.8,756
tt0170016,6.2,222588
tt0170452,5.2,610
tt0170517,6.1,566
tt0170691,7.0,40430
tt0171356,5.7,7310
tt0171359,5.9,9423
tt0171433,6.4,51047
tt0171580,6.2,34836
tt0171928,6.7,1119
tt0172156,6.6,240124
tt0172464,3.3,481
tt0172495,8.5,1401566
tt0172632,6.5,1574
tt0172699,5.0,234
tt0172794,4.1,413
tt0173568,6.5,369
tt0173716,6.2,15497
tt0173840,6.4,81126
tt0174336,4.5,4125
tt0174480,5.6,25877
tt0174646,6.3,40
tt0175142,6.2,242764
tt0175203,5.9,629
tt0175526,5.2,12963
tt0176185,4.8,287
tt0176650,2.8,509
tt0176694,8.0,827
tt0176783,5.9,16218
tt0177068,5.3,746
tt0177185,3.8,416
tt0177636,5.6,285
tt0177650,5.3,2066
tt0177845,6.4,1270
tt0177858,7.7,21595
tt0177888,5.9,553
tt0177971,6.4,161691
tt0178050,5.7,1653
tt0178642,5.6,3040
tt0178655,4.7,292
tt0179098,6.6,13932
tt0179137,7.0,468
tt0179183,4.6,6855
tt0179344,2.9,198
tt0179435,5.4,718
tt0179473,4.2,1468
tt0179626,6.1,49567
tt0179677,5.0,70
tt0179861,3.6,1151
tt0180052,3.8,25374
tt0180073,7.3,53014
tt0180093,8.3,796930
tt0180409,7.9,10
tt0180734,6.4,30003
tt0180837,6.3,1800
tt0180894,7.1,126
tt0181151,5.6,9375
tt0181536,7.3,84834
tt0181548,4.3,88
tt0181689,7.6,527246
tt0181739,6.3,34355
tt0181819,5.6,263
tt0181836,5.8,2328
tt0181852,6.3,386847
tt0181865,7.6,201899
tt0181875,7.9,265337
tt0181912,6.4,2773
tt0181984,7.0,51435
tt0182000,5.8,7821
tt0182295,6.0,4565
tt0183056,6.6,935
tt0183142,2.5,242
tt0183280,3.4,379
tt0183505,6.6,230135
tt0183523,5.7,72078
tt0183550,6.4,562
tt0183595,7.1,206
tt0183649,7.0,258873
tt0183659,7.0,27687
tt0183790,6.9,178346
tt0183869,6.5,54063
tt0184009,6.0,34
tt0184791,6.1,20914
tt0184858,5.8,38892
tt0184894,6.6,123285
tt0184907,5.1,12087
tt0185014,7.3,63023
tt0185183,2.5,78874
tt0185215,6.2,78
tt0185431,5.3,101899
tt0186045,5.7,14053
tt0186151,7.3,104849
tt0186183,6.1,3431
tt0186202,5.6,868
tt0186549,5.5,397
tt0186566,6.5,78224
tt0186589,5.7,14004
tt0186894,5.7,20544
tt0186895,5.7,1115
tt0186975,5.0,14887
tt0187078,6.5,268338
tt0187279,3.9,713
tt0187393,7.2,262979
tt0187474,6.0,662
tt0187512,5.0,5550
tt0187696,6.1,12340
tt0187738,6.7,207736
tt0187750,4.8,362
tt0188045,5.3,286
tt0188055,5.4,2228
tt0188135,5.5,390
tt0188160,6.3,856
tt0188453,6.1,25162
tt0188518,5.9,826
tt0188613,6.3,76
tt0188688,4.7,143
tt0189192,5.8,18843
tt0189456,4.3,3406
tt0189509,5.5,170
tt0189960,5.6,91
tt0189998,6.9,41054
tt0190138,6.7,116580
tt0190332,7.8,261032
tt0190346,5.8,1015
tt0190374,3.7,32899
tt0190398,5.0,216
tt0190524,4.5,9466
tt0190590,7.7,298565
tt0190861,6.6,7682
tt0190865,5.9,60318
tt0190938,5.5,972
tt0190975,6.2,224
tt0190994,5.1,143
tt0191037,5.6,2254
tt0191074,5.3,3302
tt0191133,5.6,7028
tt0191161,6.4,108
tt0191242,5.1,603
tt0191352,6.1,60
tt0191397,6.6,61078
tt0191476,6.0,136
tt0191636,7.2,5480
tt0191754,6.1,47380
tt0192023,6.4,2389
tt0192071,5.8,18525
tt0192111,5.5,14319
tt0192126,4.0,604
tt0192237,6.8,134
tt0192255,5.8,10139
tt0192346,6.6,60
tt0192455,4.8,3733
tt0192614,5.6,31766
tt0192678,5.4,167
tt0192719,4.8,671
tt0192731,4.3,16967
tt0192788,6.4,1184
tt0192949,5.6,1718
tt0193135,5.6,187
tt0193318,3.3,699
tt0193364,4.7,8260
tt0193545,5.7,191
tt0193560,5.2,5674
tt0193854,6.3,2266
tt0194026,5.6,553
tt0194027,5.7,300
tt0194104,7.0,2887
tt0194143,4.9,737
tt0194218,6.7,8291
tt0194368,6.1,4039
tt0194410,4.2,398
tt0195119,6.0,94
tt0195234,6.9,18128
tt0195631,4.9,340
tt0195685,7.4,186440
tt0195714,6.7,240198
tt0195778,5.2,8521
tt0195857,5.2,143
tt0195945,6.2,38682
tt0196069,7.7,7794
tt0196106,4.2,2498
tt0196158,3.5,7305
tt0196186,6.4,362
tt0196216,6.7,38055
tt0196223,5.4,1173
tt0196229,6.5,254310
tt0196708,6.2,2503
tt0196723,5.6,1340
tt0196811,6.6,3293
tt0197096,6.9,2663
tt0197299,3.5,109
tt0197311,5.8,268
tt0197384,5.9,3331
tt0197392,6.4,392
tt0197402,6.6,1423
tt0197633,5.0,662
tt0197644,4.4,157
tt0197753,5.6,520
tt0198021,6.8,33176
tt0198386,5.6,5912
tt0198434,3.5,515
tt0198460,5.8,270
tt0198654,6.9,561
tt0198781,8.1,852225
tt0198893,4.0,156
tt0199000,6.0,387
tt0199007,4.5,380
tt0199077,6.4,318
tt0199290,4.9,3441
tt0199314,5.9,6520
tt0199481,2.7,5261
tt0199626,5.3,23039
tt0199650,4.0,997
tt0199696,6.1,60
tt0199700,6.0,482
tt0199725,7.2,20173
tt0199727,6.5,5293
tt0199733,5.4,136
tt0199744,5.2,387
tt0199753,5.7,56795
tt0199898,4.7,269
tt0199974,4.9,1057
tt0200027,6.5,28050
tt0200191,6.1,534
tt0200192,5.5,5383
tt0200257,6.6,397
tt0200422,4.9,776
tt0200427,7.0,1700
tt0200465,7.2,177566
tt0200472,5.7,2281
tt0200483,5.3,57
tt0200530,6.6,5520
tt0200541,6.0,16
tt0200550,5.7,110854
tt0200669,5.9,4407
tt0200720,7.0,7433
tt0201394,5.1,1518
tt0201479,3.9,649
tt0201484,4.6,755
tt0201485,5.4,8872
tt0201694,2.7,1053
tt0201844,2.4,4219
tt0201899,7.0,1541
tt0201901,5.5,316
tt0202236,5.0,898
tt0202256,6.5,233
tt0202314,3.0,1278
tt0202360,5.8,56
tt0202402,5.5,10562
tt0202405,6.3,213
tt0202464,6.5,104
tt0202470,6.3,42281
tt0202623,5.4,4715
tt0202641,7.2,1664
tt0202677,6.7,32777
tt0202989,4.6,648
tt0203009,7.6,273978
tt0203019,7.2,112453
tt0203053,5.5,860
tt0203119,7.3,58579
tt0203166,7.4,22389
tt0203230,7.5,29238
tt0203289,6.6,1615
tt0203297,4.7,536
tt0203536,4.6,569
tt0203540,6.8,5804
tt0203580,3.9,259
tt0203584,6.3,231
tt0203632,7.5,14361
tt0203755,6.1,30298
tt0203830,4.8,279
tt0203835,3.0,853
tt0203940,3.9,2934
tt0203975,4.7,3157
tt0204055,6.9,1061
tt0204137,6.6,13429
tt0204140,5.7,43
tt0204175,5.4,16502
tt0204193,5.0,83
tt0204313,5.1,35980
tt0204315,6.6,395
tt0204382,7.1,31
tt0204414,5.8,67
tt0204626,5.3,26612
tt0204640,6.8,3052
tt0204700,6.0,7733
tt0204761,5.7,1835
tt0204932,7.3,3672
tt0204946,6.1,91997
tt0205027,5.0,628
tt0205177,5.6,13018
tt0205271,4.6,19375
tt0205380,4.9,167
tt0205461,4.2,4169
tt0205718,4.4,151
tt0205778,6.6,80
tt0205836,6.6,364
tt0205873,7.2,15970
tt0206075,3.4,559
tt0206088,6.1,340
tt0206093,6.7,531
tt0206113,6.3,1357
tt0206200,6.3,306
tt0206226,6.2,5929
tt0206275,6.2,59687
tt0206314,6.6,66867
tt0206367,5.1,1118
tt0206420,5.3,10320
tt0206608,6.2,183
tt0206634,7.9,480032
tt0206670,5.6,50
tt0206742,6.4,2088
tt0206795,6.6,233
tt0206806,7.3,88
tt0206866,7.1,397
tt0206917,6.2,15007
tt0206926,5.7,5842
tt0206963,7.2,5574
tt0207036,5.1,647
tt0207051,6.1,324
tt0207130,7.2,27
tt0207161,5.8,1412
tt0207163,6.5,472
tt0207198,6.8,3638
tt0207201,6.4,200506
tt0207333,5.2,846
tt0207377,4.6,871
tt0207524,6.9,3523
tt0207585,6.0,707
tt0207631,4.6,612
tt0208003,5.2,83328
tt0208026,5.7,1133
tt0208032,7.1,1181
tt0208037,4.6,403
tt0208092,8.3,812917
tt0208198,5.1,451
tt0208204,4.8,108
tt0208298,7.0,1526
tt0208412,6.8,32
tt0208491,4.6,749
tt0208655,4.9,376
tt0208675,7.1,1254
tt0208874,6.9,23623
tt0208889,7.0,65
tt0208942,4.4,176
tt0208988,5.2,33745
tt0208990,7.3,19551
tt0208993,7.0,1287
tt0209037,7.0,3235
tt0209077,5.9,29355
tt0209144,8.4,1171030
tt0209163,6.4,311248
tt0209180,8.1,4336
tt0209279,5.6,165
tt0209322,6.3,3359
tt0209475,5.3,78923
tt0209485,5.2,141
tt0209486,4.9,442
tt0209941,6.2,86
tt0209958,6.4,99666
tt0210065,6.7,13678
tt0210070,6.8,44566
tt0210075,6.7,10909
tt0210149,6.1,687
tt0210299,7.2,3430
tt0210358,6.5,6888
tt0210382,5.9,9329
tt0210471,6.1,121
tt0210567,5.6,3966
tt0210584,6.2,2361
tt0210616,6.7,21025
tt0210692,6.7,80
tt0210738,5.0,426
tt0210930,5.2,239
tt0210943,6.5,2347
tt0210945,7.8,205154
tt0210952,5.6,89
tt0210971,5.7,285
tt0211103,6.2,444
tt0211181,4.9,36466
tt0211309,6.4,473
tt0211387,6.8,6345
tt0211443,4.4,53568
tt0211465,6.1,23439
tt0211492,6.9,4414
tt0211554,5.7,177
tt0211661,6.0,1761
tt0211718,7.3,2829
tt0211900,5.9,1151
tt0211915,8.3,725922
tt0211933,6.5,74331
tt0211938,5.8,12313
tt0211941,5.6,1530
tt0211946,7.2,14124
tt0212048,4.3,307
tt0212215,6.2,246
tt0212294,6.1,138
tt0212338,7.0,321066
tt0212346,6.3,197125
tt0212380,6.3,8319
tt0212604,7.3,1908
tt0212712,7.4,55238
tt0212720,7.2,298513
tt0212742,5.3,1747
tt0212797,6.3,439
tt0212815,7.3,4366
tt0212826,7.0,5567
tt0212830,5.3,5875
tt0212897,7.0,647
tt0212910,5.8,1247
tt0212958,5.6,77
tt0212974,6.6,4254
tt0212985,6.8,263799
tt0213053,5.4,216
tt0213149,6.2,320583
tt0213203,6.2,11988
tt0213527,6.3,8
tt0213595,6.7,417
tt0213690,3.6,290
tt0213733,5.8,159
tt0213790,5.2,12959
tt0213824,4.7,34
tt0213847,7.5,96642
tt0213890,7.1,28662
tt0213985,6.9,2554
tt0213996,5.7,15
tt0214017,7.5,42
tt0214106,4.5,134
tt0214265,6.4,967
tt0214289,6.2,3437
tt0214388,5.8,22581
tt0214520,5.7,81
tt0214529,4.5,4841
tt0214619,5.7,125
tt0214638,3.5,320
tt0214728,5.9,659
tt0214757,4.5,479
tt0214871,3.7,1545
tt0214878,6.1,1632
tt0214959,6.7,158
tt0215129,6.4,163439
tt0215135,4.4,3350
tt0215223,5.7,44
tt0215458,5.4,122
tt0215516,6.3,1559
tt0215526,4.1,139
tt0215532,7.3,73
tt0215545,6.6,11265
tt0215750,7.6,251766
tt0215770,5.7,32
tt0215824,4.7,42
tt0215850,7.0,504
tt0216196,4.3,755
tt0216198,7.5,33
tt0216216,5.9,119149
tt0216322,6.1,45
tt0216523,5.1,44
tt0216578,6.8,1231
tt0216584,5.6,3860
tt0216587,3.3,84
tt0216605,5.9,1629
tt0216620,4.4,2288
tt0216625,7.2,13056
tt0216651,7.7,30597
tt0216669,6.3,93
tt0216689,6.6,1214
tt0216735,6.5,63
tt0216740,5.4,65
tt0216746,3.6,1856
tt0216772,4.2,1257
tt0216787,7.2,9587
tt0216799,7.1,6272
tt0216800,7.1,11114
tt0216851,3.9,650
tt0216890,4.8,448
tt0216911,6.1,1019
tt0216930,4.8,1676
tt0216965,6.1,31
tt0216990,6.8,436
tt0217019,6.1,1728
tt0217025,5.9,68
tt0217031,5.4,377
tt0217084,7.7,467
tt0217086,4.6,1382
tt0217116,6.5,86
tt0217119,6.9,1625
tt0217132,6.1,211
tt0217168,6.1,479
tt0217287,3.7,285
tt0217319,5.3,468
tt0217331,5.1,2668
tt0217355,5.7,3872
tt0217401,5.3,52
tt0217505,7.5,420900
tt0217621,4.5,414
tt0217629,7.0,3113
tt0217630,5.3,28513
tt0217654,3.6,797
tt0217756,5.4,14044
tt0217758,5.2,616
tt0217788,5.3,176
tt0217802,4.7,218
tt0217869,7.3,401424
tt0217979,3.3,656
tt0218000,6.3,621
tt0218067,4.3,1965
tt0218080,3.5,1208
tt0218108,6.5,100
tt0218112,6.3,1466
tt0218126,3.4,437
tt0218138,4.7,824
tt0218141,5.9,1723
tt0218182,6.2,1665
tt0218298,5.7,599
tt0218378,6.4,6247
tt0218379,6.3,1675
tt0218533,6.8,2304
tt0218559,6.2,506
tt0218581,5.0,2490
tt0218616,6.6,1241
tt0218619,3.9,8853
tt0218641,3.1,784
tt0218741,5.7,135
tt0218800,5.7,255
tt0218817,6.1,28999
tt0218822,6.4,332
tt0218839,7.5,59257
tt0218864,5.8,7017
tt0218922,6.1,55392
tt0218967,6.8,106557
tt0219152,7.1,110
tt0219171,6.0,2497
tt0219214,3.7,158
tt0219223,4.9,53
tt0219288,7.5,2943
tt0219327,5.8,537
tt0219333,5.6,822
tt0219374,6.8,3912
tt0219400,5.5,5907
tt0219405,6.8,1843
tt0219469,5.6,399
tt0219519,6.3,1570
tt0219636,6.2,470
tt0219653,4.9,33121
tt0219699,6.7,66201
tt0219822,6.4,18044
tt0219854,6.1,41396
tt0219876,5.2,202
tt0219952,5.0,10271
tt0219957,4.8,291
tt0219965,6.5,66978
tt0220011,7.2,106
tt0220099,6.4,18158
tt0220100,6.1,6711
tt0220157,6.6,1304
tt0220322,7.4,28
tt0220343,5.5,1400
tt0220357,5.8,45
tt0220364,6.8,234
tt0220506,4.0,39850
tt0220580,6.9,13047
tt0220623,6.4,4198
tt0220627,6.9,5184
tt0220631,6.8,1478
tt0220827,6.2,6735
tt0221013,6.6,1030
tt0221027,7.6,248569
tt0221069,6.3,3435
tt0221073,7.2,37281
tt0221115,6.4,810
tt0221218,5.8,35349
tt0221297,4.3,274
tt0221315,6.3,292
tt0221431,4.7,413
tt0221446,4.7,50
tt0221554,5.4,743
tt0221558,6.5,304
tt0221559,7.0,4209
tt0221563,6.2,1163
tt0221637,5.8,96
tt0221799,6.7,4231
tt0221837,6.2,272
tt0221885,4.9,1119
tt0221889,5.8,3667
tt0221928,5.2,2076
tt0222012,7.9,12192
tt0222020,3.3,604
tt0222024,5.4,6753
tt0222096,7.2,323
tt0222150,7.1,1208
tt0222270,6.2,7316
tt0222293,6.7,1978
tt0222515,4.9,127
tt0222850,7.0,7470
tt0222851,7.1,22693
tt0222952,5.7,31
tt0223067,5.3,285
tt0223268,4.4,4049
tt0223490,3.4,426
tt0223593,5.8,139
tt0223744,4.5,188
tt0223828,5.4,85
tt0223832,6.5,740
tt0223897,7.2,116632
tt0223954,6.1,2226
tt0224025,4.1,1032
tt0224084,5.6,104
tt0224578,7.2,3724
tt0224626,4.1,897
tt0224807,6.0,76
tt0225071,5.6,23426
tt0225100,6.1,581
tt0225196,5.8,304
tt0225210,7.2,40
tt0225410,5.4,65
tt0225824,6.2,961
tt0225865,4.5,289
tt0226094,5.8,314
tt0226190,7.1,141
tt0226198,4.7,146
tt0226351,4.4,197
tt0226430,5.8,879
tt0226525,7.8,237
tt0226540,5.2,723
tt0226701,4.3,406
tt0226708,5.6,246
tt0226935,5.0,2109
tt0227005,6.4,18102
tt0227194,5.4,4983
tt0227200,3.4,394
tt0227224,6.0,158
tt0227277,7.1,6385
tt0227445,6.8,125047
tt0227458,6.1,710
tt0227538,5.5,112684
tt0227671,5.4,434
tt0227692,6.5,17
tt0227980,5.7,977
tt0227984,6.3,48608
tt0228180,3.8,370
tt0228239,6.7,269
tt0228242,6.8,1788
tt0228333,4.9,52953
tt0228488,6.3,1933
tt0228508,5.0,422
tt0228536,5.9,515
tt0228577,4.9,85
tt0228583,5.9,30
tt0228687,7.3,6258
tt0228711,4.9,444
tt0228720,4.4,273
tt0228750,6.3,56209
tt0228761,7.0,48
tt0228766,5.2,223
tt0228786,6.9,59697
tt0228891,4.9,517
tt0228992,6.1,144
tt0229003,4.9,552
tt0229021,5.8,325
tt0229187,5.9,409
tt0229226,6.4,103
tt0229260,4.0,37100
tt0229295,7.3,16
tt0229340,7.3,5051
tt0229432,6.9,234
tt0229653,5.1,112
tt0229664,7.6,2126
tt0229694,6.4,643
tt0230011,6.9,111323
tt0230030,6.0,100497
tt0230055,5.4,667
tt0230098,6.1,999
tt0230169,5.5,5281
tt0230512,7.0,1539
tt0230600,7.6,351231
tt0230631,6.5,345
tt0230652,6.7,330
tt0230745,6.3,690
tt0230753,6.4,333
tt0230783,5.9,643
tt0230838,6.7,88136
tt0230921,6.8,148
tt0231001,6.8,4274
tt0231172,6.8,14
tt0231208,4.3,632
tt0231212,7.2,47
tt0231402,4.8,24415
tt0231448,5.6,7312
tt0231514,6.2,14
tt0231775,5.5,23442
tt0231782,6.5,163
tt0231956,5.2,594
tt0231971,5.6,3726
tt0232015,4.6,487
tt0232079,3.8,4364
tt0232083,6.7,5172
tt0232098,3.2,895
tt0232149,6.9,21
tt0232465,4.2,314
tt0232500,6.8,368416
tt0232632,6.0,2070
tt0232831,5.6,65
tt0232994,5.9,79
tt0233008,5.6,25
tt0233142,6.0,45461
tt0233230,7.0,887
tt0233289,3.4,1011
tt0233309,5.3,101
tt0233402,6.3,98
tt0233418,7.0,1188
tt0233469,5.5,73677
tt0233569,4.3,129
tt0233595,6.4,239
tt0233600,5.8,2479
tt0233651,7.5,2918
tt0233656,3.5,1379
tt0233709,5.8,234
tt0233828,8.2,109
tt0233841,7.8,8180
tt0233854,7.3,72
tt0233910,5.2,309
tt0234000,6.9,14590
tt0234041,6.6,1194
tt0234058,6.7,298
tt0234137,6.2,5482
tt0234215,7.2,543462
tt0234288,7.7,5076
tt0234305,7.1,104
tt0234354,5.8,10979
tt0234421,6.0,81
tt0234426,4.1,36
tt0234570,6.0,954
tt0234652,2.7,1580
tt0234663,6.5,301
tt0234805,6.9,2309
tt0234829,5.1,15688
tt0234837,7.4,4588
tt0234940,6.5,1068
tt0234988,7.2,1217
tt0235079,5.3,112
tt0235108,6.2,275
tt0235110,5.4,120
tt0235353,3.9,465
tt0235412,6.0,1131
tt0235485,3.0,85
tt0235547,5.8,94
tt0235553,5.1,1365
tt0235579,8.1,29
tt0235596,6.0,585
tt0235606,4.9,1262
tt0235679,5.9,13627
tt0235712,6.0,8835
tt0235737,7.1,30378
tt0235796,6.1,244
tt0235807,5.3,30
tt0235841,7.0,836
tt0235866,6.1,110
tt0235970,6.3,72
tt0235982,6.1,547
tt0236000,5.9,254
tt0236019,6.4,2181
tt0236026,4.1,150
tt0236027,7.7,21079
tt0236034,6.4,1598
tt0236167,6.7,527
tt0236188,7.1,274
tt0236216,7.7,5818
tt0236313,5.9,356
tt0236343,5.8,561
tt0236348,5.5,22676
tt0236388,6.8,5693
tt0236432,5.2,7
tt0236493,6.1,106259
tt0236551,6.1,135
tt0236576,7.8,2006
tt0236598,7.0,446
tt0236638,4.1,2596
tt0236640,6.3,17687
tt0236783,6.5,93
tt0236784,6.2,28839
tt0236788,6.9,161
tt0236793,6.2,15
tt0237004,6.2,119
tt0237106,4.4,180
tt0237199,6.3,92
tt0237289,5.5,696
tt0237386,7.2,325
tt0237534,7.0,64708
tt0237539,7.3,9379
tt0237572,6.8,56220
tt0237680,3.4,511
tt0237687,5.5,290
tt0237853,7.2,50
tt0237993,6.8,9547
tt0237994,7.2,791
tt0238036,6.1,110
tt0238112,5.9,33780
tt0238119,7.6,6059
tt0238137,5.6,2476
tt0238237,7.2,25
tt0238251,4.7,784
tt0238274,4.9,111
tt0238295,5.3,349
tt0238355,6.0,184
tt0238380,7.4,318762
tt0238413,5.2,11
tt0238417,6.4,29
tt0238435,7.1,159
tt0238463,5.4,681
tt0238546,5.3,54082
tt0238552,5.4,14407
tt0238588,6.9,766
tt0238649,5.4,248
tt0238660,6.6,3779
tt0238883,7.8,13762
tt0238891,7.6,5599
tt0238893,4.7,50
tt0238924,7.0,13536
tt0238936,7.6,40450
tt0238948,5.4,8317
tt0238960,6.2,35
tt0238994,5.9,174
tt0239020,6.6,670
tt0239060,6.0,1659
tt0239102,7.1,1339
tt0239234,6.9,2697
tt0239235,6.0,612
tt0239236,6.6,438
tt0239251,7.4,360
tt0239271,6.5,209
tt0239341,5.8,271
tt0239381,5.8,3273
tt0239388,7.0,830
tt0239395,5.1,58243
tt0239431,7.4,7
tt0239432,3.5,292
tt0239450,5.0,3954
tt0239507,5.9,607
tt0239509,6.1,672
tt0239541,7.6,30
tt0239655,7.3,2225
tt0239670,6.0,1065
tt0239695,6.9,525
tt0239804,6.6,144
tt0239936,7.0,158
tt0239948,5.9,39903
tt0239949,5.0,13047
tt0239986,6.4,6647
tt0240009,6.5,114
tt0240033,4.9,608
tt0240043,6.4,18
tt0240122,7.2,433
tt0240134,7.3,14
tt0240149,6.7,1926
tt0240200,7.7,14674
tt0240249,4.9,41
tt0240340,6.6,296
tt0240402,5.8,4843
tt0240419,7.1,6285
tt0240462,4.7,44309
tt0240468,6.2,44813
tt0240473,6.1,538
tt0240482,7.9,42
tt0240500,5.0,414
tt0240505,7.5,54
tt0240510,6.5,33521
tt0240515,4.6,47574
tt0240521,4.8,178
tt0240659,5.7,516
tt0240772,7.7,539919
tt0240880,5.7,277
tt0240890,6.9,107835
tt0240900,5.4,14318
tt0240913,7.1,9992
tt0240980,6.3,2397
tt0241025,6.2,21947
tt0241034,5.4,136
tt0241053,6.4,27
tt0241223,6.6,2842
tt0241254,6.0,125
tt0241303,7.2,184107
tt0241467,3.3,445
tt0241527,7.6,701104
tt0241657,7.1,391
tt0241663,7.6,1794
tt0241683,6.5,136
tt0241760,5.9,34689
tt0241802,6.4,160
tt0241841,6.2,37
tt0241934,5.0,43
tt0242029,6.8,242
tt0242084,3.7,109
tt0242150,5.6,2544
tt0242154,6.2,352
tt0242193,6.9,37106
tt0242252,6.1,5254
tt0242256,8.3,5998
tt0242285,5.2,940
tt0242322,6.1,22
